Year, Total, Gas, Liquid, Solid, Cement, Flaring
1950,509817,5750,73407,423556,7101,0
1951,559778,6493,85315,459942,8024,0
1952,573626,7150,93665,464063,8753,0
1953,593069,8430,102073,472908,9656,0
1954,632085,9341,115922,496293,10529,0
1955,688911,10863,135352,530807,11890,0
1956,735649,13327,153713,555946,12662,0
1957,774985,17959,168988,574489,13547,0
1958,791809,23672,187298,566366,14469,0
1959,815748,29399,206495,563618,16237,0
1960,860173,36405,229184,576598,17985,0
1961,889636,45097,250097,574616,19826,0
1962,939482,54577,283815,579483,21524,87
1963,1006202,64572,317076,601594,22837,123
1964,1058432,76347,351789,604713,25434,145
1965,1107850,87644,384000,609201,26897,111
1966,1156584,97511,420542,609433,29038,60
1967,1195675,108803,454305,601390,31105,72
1968,1248701,121875,492869,601109,32720,127
1969,1313420,134464,535034,609186,34241,498
1970,1393163,138044,597668,620642,35906,899
1971,1452518,160617,631915,614150,37347,8490
1972,1520294,177806,684145,610439,39371,8536
1973,1592636,191468,731334,618093,41871,9873
1974,1607782,207504,731924,614856,42838,10655
1975,1634655,225392,724714,629691,43462,11394
1976,1719886,247408,763886,651300,44860,12430
1977,1749053,259137,769950,659893,46658,13415
1978,1806564,271935,813284,659189,47620,14531
1979,1849673,287546,824266,680554,46780,10531
1980,1861669,295861,803295,706221,47114,9183
1981,1797397,311865,771390,658977,46406,8761
1982,1798515,319476,756993,667987,45773,8286
1983,1801875,337661,743550,666901,45910,7860
1984,1807083,358497,736585,659202,45219,7581
1985,1906937,386101,730442,738180,44618,7592
1986,1913008,376365,737304,746818,45935,6591
1987,1973615,414882,747787,757897,46781,6271
1988,1992481,435637,745368,752220,48428,10826
1989,1997267,447790,756720,732742,49340,10674
1990,1878398,457739,721563,643909,47943,7241
1991,2100447,501344,816637,725823,49604,7039
1992,2060890,527055,730795,750554,47610,4880
1993,1961027,522797,699778,689851,43438,5165
1994,1835844,496470,644050,648660,41394,5272
1995,1822947,505020,641729,629900,40872,5429
1996,1835527,530002,639925,620929,39098,5566
1997,1766751,516913,625601,578618,40582,5037
1998,1763759,523824,632900,559166,41996,5874
1999,1749410,538598,618234,543412,42615,6551
2000,1764247,549873,608363,556016,43828,6168
2001,1786715,564453,622547,550123,43055,6533
2002,1782888,563839,618415,548442,43932,8265
2003,1834099,593346,621610,565878,46238,7025
2004,1844794,605860,622497,560117,49125,7197
2005,1844834,618548,615763,551393,50748,8380
2006,1895807,621528,621714,586634,56430,9510
2007,1889098,629181,606767,583410,59653,10090
2008,1873238,635537,604362,569319,54664,9362
2009,1720309,590467,577053,498781,45967,8041
2010,1818456,651047,580360,530299,46803,9948
2011,1813938,634102,576949,543733,48915,10238
2012,1814540,618870,567733,571151,46456,10332
2013,1778648,616835,555049,548687,47575,10501
